dataset,family,algorithm,seed,n_samples,n_features,true_clusters,seconds,ari,nmi,clusters_found,silhouette,davies_bouldin,calinski_harabasz
noisy_circles,nonconvex,MBC,7,500,2,2,0.5773759000003338,1.0,1.0,2.0,0.11418936803893037,171.93719552286376,0.015045595851648342
noisy_circles,nonconvex,MBC_no_compact,7,500,2,2,0.6002769999904558,1.0,1.0,2.0,0.11418936803893037,171.93719552286376,0.015045595851648342
noisy_circles,nonconvex,MBC_no_polarity,7,500,2,2,0.5932248999597505,1.0,1.0,2.0,0.11418936803893037,171.93719552286376,0.015045595851648342
noisy_circles,nonconvex,MBC_no_capillary,7,500,2,2,0.546362999943085,1.0,1.0,2.0,0.11418936803893037,171.93719552286376,0.015045595851648342
noisy_circles,nonconvex,MBC_micro_only,7,500,2,2,0.5763408000348136,0.09929537299655089,0.374710939021799,21.0,0.4679405153696763,0.5777679270503273,812.103246432582
varied_density,synthetic_density,MBC,7,500,2,3,0.3723905000369996,0.02864425062960093,0.09898325997605345,3.0,0.29788842829366,0.5786746104631361,62.25899582370009
varied_density,synthetic_density,MBC_no_compact,7,500,2,3,0.35506909992545843,0.02864425062960093,0.09898325997605345,3.0,0.29788842829366,0.5786746104631361,62.25899582370009
varied_density,synthetic_density,MBC_no_polarity,7,500,2,3,0.3631125999381766,0.02864425062960093,0.09898325997605345,3.0,0.29788842829366,0.5786746104631361,62.25899582370009
varied_density,synthetic_density,MBC_no_capillary,7,500,2,3,0.35757450002711266,0.02864425062960093,0.09898325997605345,3.0,0.29788842829366,0.5786746104631361,62.25899582370009
varied_density,synthetic_density,MBC_micro_only,7,500,2,3,0.3792877000523731,0.39114750149964705,0.5409100879884985,11.0,0.3948268578745444,0.7085752192385778,533.4314882448884
anisotropic_blobs,synthetic_gaussian,MBC,7,500,2,4,0.21983379998710006,1.0,1.0,4.0,0.8365461975467688,0.23753086747219604,8712.228213499815
anisotropic_blobs,synthetic_gaussian,MBC_no_compact,7,500,2,4,0.21217860002070665,1.0,1.0,4.0,0.8365461975467688,0.23753086747219604,8712.228213499815
anisotropic_blobs,synthetic_gaussian,MBC_no_polarity,7,500,2,4,0.19611140002962202,1.0,1.0,4.0,0.8365461975467688,0.23753086747219604,8712.228213499815
anisotropic_blobs,synthetic_gaussian,MBC_no_capillary,7,500,2,4,0.21001350006554276,1.0,1.0,4.0,0.8365461975467688,0.23753086747219604,8712.228213499815
anisotropic_blobs,synthetic_gaussian,MBC_micro_only,7,500,2,4,0.19881859992165118,0.9051527532298494,0.9231987977438193,6.0,0.6924952094990515,0.6290809492975743,7447.30498898251
ecoli,real_tabular,MBC,7,336,7,8,0.24263890006113797,0.5079066892753646,0.6406204745931141,8.0,0.26046685823449156,1.09123320162205,163.22216297233118
ecoli,real_tabular,MBC_no_compact,7,336,7,8,0.21000310010276735,0.2122565783191653,0.2965395340229246,3.0,0.2529420300666066,1.1822228614729455,74.81089581364974
ecoli,real_tabular,MBC_no_polarity,7,336,7,8,0.24038430000655353,0.5079066892753646,0.6406204745931141,8.0,0.26046685823449156,1.09123320162205,163.22216297233118
ecoli,real_tabular,MBC_no_capillary,7,336,7,8,0.2267749001039192,0.5079066892753646,0.6406204745931141,8.0,0.26046685823449156,1.09123320162205,163.22216297233118
ecoli,real_tabular,MBC_micro_only,7,336,7,8,0.25391480000689626,0.5264004811396913,0.5054434751185156,7.0,0.24314054668747853,1.3486627846062549,73.75488685858306
glass,real_tabular,MBC,7,214,9,6,0.23367069999221712,0.16370385100343157,0.30526194619923186,6.0,0.3247477063525023,0.9837854424816354,62.86368476201387
glass,real_tabular,MBC_no_compact,7,214,9,6,0.19697910000104457,0.2081649506021231,0.3282564971121708,6.0,0.35974275879739986,1.0350656763298884,26.595636970296386
glass,real_tabular,MBC_no_polarity,7,214,9,6,0.21580060000997037,0.16370385100343157,0.30526194619923186,6.0,0.3247477063525023,0.9837854424816354,62.86368476201387
glass,real_tabular,MBC_no_capillary,7,214,9,6,0.20797609991859645,0.16370385100343157,0.30526194619923186,6.0,0.3247477063525023,0.9837854424816354,62.86368476201387
glass,real_tabular,MBC_micro_only,7,214,9,6,0.2155833999859169,0.1994498812234002,0.3029158565412585,7.0,0.323826323914754,1.0255984856140656,29.999568592395534
vehicle,real_tabular,MBC,7,846,10,4,1.9261283000232652,0.07612445208069152,0.11648453669873902,4.0,0.3103009817804056,1.0500180040586127,446.2589756245297
vehicle,real_tabular,MBC_no_compact,7,846,10,4,1.852939400007017,0.0030643733623936546,0.0494389213004033,4.0,-0.020485613847803157,2.0072021859322886,32.64332627735116
vehicle,real_tabular,MBC_no_polarity,7,846,10,4,1.7514671999961138,0.07612445208069152,0.11648453669873902,4.0,0.3103009817804056,1.0500180040586127,446.2589756245297
vehicle,real_tabular,MBC_no_capillary,7,846,10,4,1.751779800048098,0.07612445208069152,0.11648453669873902,4.0,0.3103009817804056,1.0500180040586127,446.2589756245297
vehicle,real_tabular,MBC_micro_only,7,846,10,4,1.8609834000235423,0.09293334493505467,0.2409576407722056,29.0,0.15593022792314434,1.529586700759529,151.948007065755
cmc,real_tabular,MBC,7,1473,9,3,2.5486137999687344,0.023244646958711937,0.043170317739789556,3.0,0.20081765223850556,1.7058769320911307,321.3292041703798
cmc,real_tabular,MBC_no_compact,7,1473,9,3,2.4381640000501648,0.006475310350270278,0.0210062429924045,3.0,0.23120447654182125,1.417403933644124,261.28711983983294
cmc,real_tabular,MBC_no_polarity,7,1473,9,3,2.516894400003366,0.023244646958711937,0.043170317739789556,3.0,0.20081765223850556,1.7058769320911307,321.3292041703798
cmc,real_tabular,MBC_no_capillary,7,1473,9,3,2.530226600007154,0.023244646958711937,0.043170317739789556,3.0,0.20081765223850556,1.7058769320911307,321.3292041703798
cmc,real_tabular,MBC_micro_only,7,1473,9,3,2.532459400012158,0.00739365355823808,0.04023821051946279,32.0,0.1760691537389112,1.5306784427452924,137.64220735058177
wdbc,real_tabular,MBC,7,569,10,2,0.4634010000154376,0.6707206476880808,0.554612218410556,2.0,0.35798642260745267,1.2596588947907137,288.1245704093846
wdbc,real_tabular,MBC_no_compact,7,569,10,2,0.4539527999004349,0.014754127895842538,0.029230917160688052,2.0,0.47710240685532634,0.8105782734106284,30.259111540788545
wdbc,real_tabular,MBC_no_polarity,7,569,10,2,0.45992449996992946,0.6707206476880808,0.554612218410556,2.0,0.35798642260745267,1.2596588947907137,288.1245704093846
wdbc,real_tabular,MBC_no_capillary,7,569,10,2,0.44766489998437464,0.6707206476880808,0.554612218410556,2.0,0.35798642260745267,1.2596588947907137,288.1245704093846
wdbc,real_tabular,MBC_micro_only,7,569,10,2,0.46990999998524785,0.36885928132071977,0.38001717285454956,15.0,0.1595939882145911,1.5591774686488449,69.80548407522957
iris,real_low_dim,MBC,11,150,4,3,0.23901450005359948,0.6201351808870379,0.659486892724918,3.0,0.45994823920518635,0.8335949464754338,241.90440170183157
iris,real_low_dim,MBC_no_compact,11,150,4,3,0.20873860002029687,0.5583714437541352,0.720117603611598,3.0,0.504645610832545,0.492925227682915,131.53589557747262
iris,real_low_dim,MBC_no_polarity,11,150,4,3,0.21403350005857646,0.6201351808870379,0.659486892724918,3.0,0.45994823920518635,0.8335949464754338,241.90440170183157
iris,real_low_dim,MBC_no_capillary,11,150,4,3,0.21470960008446127,0.6201351808870379,0.659486892724918,3.0,0.45994823920518635,0.8335949464754338,241.90440170183157
iris,real_low_dim,MBC_micro_only,11,150,4,3,0.21411860000807792,0.406862195932573,0.5844010490402607,7.0,0.32603639167014054,0.8704003675434849,154.598407146981
wine,real_tabular,MBC,11,178,10,3,0.35612229991238564,0.8974949815093207,0.8758935341223069,3.0,0.29867482943692875,1.3363263335155775,76.17957977418826
