index,dataset,family,algorithm,ari_mean,ari_std,nmi_mean,nmi_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std,seconds_mean,seconds_std,clusters_found_mean,clusters_found_std
39,iris,real_low_dim,MBC_no_polarity,0.6161102487436471,0.005511365318406961,0.6567154164383502,0.003795000199359604,0.45972011182109834,0.0003123762856241699,0.8337570296745025,0.00022194156080636095,241.89994596832625,0.006101264377733172,0.21550364000722766,0.00804248421591738,3.0,0.0
40,noisy_circles,nonconvex,MBC,1.0,0.0,1.0,0.0,0.11097655046584569,0.00224734294426971,234.69252442965444,82.32104170759173,0.01025848633661643,0.005474300347110479,0.5693069199798628,0.029058823807910982,2.0,0.0
41,noisy_circles,nonconvex,MBC_micro_only,0.10402256875192226,0.0033900666243466765,0.3766089223335627,0.0030813819607454227,0.46743574307850955,0.011767048282599876,0.5877204668402205,0.011814032198412252,776.3027464118328,28.376065391839216,0.5637455399846658,0.020430395441382337,21.2,0.8366600265340756
42,noisy_circles,nonconvex,MBC_no_capillary,1.0,0.0,1.0,0.0,0.11097655046584569,0.00224734294426971,234.69252442965444,82.32104170759173,0.01025848633661643,0.005474300347110479,0.5437719599809497,0.03784106010690692,2.0,0.0
43,noisy_circles,nonconvex,MBC_no_compact,1.0,0.0,1.0,0.0,0.11097655046584569,0.00224734294426971,234.69252442965444,82.32104170759173,0.01025848633661643,0.005474300347110479,0.5755053800065071,0.04087729287673773,2.0,0.0
44,noisy_circles,nonconvex,MBC_no_polarity,0.8,0.4472135954999579,0.8,0.4472135954999579,0.11060125093466021,0.002407294918539242,201.3531686755589,40.318576319645935,0.012001827207520143,0.0044379841263885176,0.5652214800007641,0.0392539859221147,1.8,0.4472135954999579
45,noisy_moons,nonconvex,MBC,0.6799309259882202,0.40955673346507443,0.7073807593767266,0.3441064189163907,0.35760933153021607,0.021142086953376944,0.9915021583139276,0.07363236308219442,355.5285780388606,72.35358608887287,0.5060749600175768,0.013063928348334733,2.0,0.0
46,noisy_moons,nonconvex,MBC_micro_only,0.12510226518371526,0.010927956373946402,0.38767990031105704,0.012526517710766991,0.3907508195969646,0.02248078355145519,0.7593463519970465,0.03888930368338965,829.6168627848153,27.636387302178353,0.49307289998978376,0.0312773532695889,17.2,1.3038404810405297
47,noisy_moons,nonconvex,MBC_no_capillary,0.6799309259882202,0.40955673346507443,0.7073807593767266,0.3441064189163907,0.35760933153021607,0.021142086953376944,0.9915021583139276,0.07363236308219442,355.5285780388606,72.35358608887287,0.48681618000846355,0.03832959313549273,2.0,0.0
48,noisy_moons,nonconvex,MBC_no_compact,0.6799309259882202,0.40955673346507443,0.7073807593767266,0.3441064189163907,0.35760933153021607,0.021142086953376944,0.9915021583139276,0.07363236308219442,355.5285780388606,72.35358608887287,0.5043653199914843,0.025774267060582296,2.0,0.0
49,noisy_moons,nonconvex,MBC_no_polarity,0.007238703034903255,0.01618623205497771,0.028394117800476154,0.06349117756300149,0.19998724886640382,,0.9031717766702,,82.2887259576468,,0.49244415999855845,0.028039218894300843,1.2,0.4472135954999579
50,two_moons,nonconvex,MBC,1.0,0.0,1.0,0.0,0.3830220333703234,0.004531887033647229,1.0299318577371577,0.009989172666115103,424.8147668032989,8.238657955617692,0.42925811999011787,0.02049328227822181,2.0,0.0
51,two_moons,nonconvex,MBC_micro_only,0.1406787638902397,0.0042187970947515675,0.4126055708220693,0.004364682467915653,0.46408517845163927,0.01897467229789277,0.6350990081488386,0.0312586551766924,1272.5465263367357,87.94077890888937,0.441301399981603,0.024438095251340906,15.2,0.8366600265340757
52,two_moons,nonconvex,MBC_no_capillary,1.0,0.0,1.0,0.0,0.3830220333703234,0.004531887033647229,1.0299318577371577,0.009989172666115103,424.8147668032989,8.238657955617692,0.4263717600144446,0.02090787039589382,2.0,0.0
53,two_moons,nonconvex,MBC_no_compact,1.0,0.0,1.0,0.0,0.3830220333703234,0.004531887033647229,1.0299318577371577,0.009989172666115103,424.8147668032989,8.238657955617692,0.424441900011152,0.018420092974059544,2.0,0.0
54,two_moons,nonconvex,MBC_no_polarity,0.8047546447698057,0.43658188658580843,0.8237305111451738,0.3941505594385329,0.3463483443144591,0.0851484716068824,0.9936600063940133,0.07587530554968418,354.84536642377816,160.91857250571564,0.4209830600069836,0.015369925898163347,2.0,0.0
55,varied_density,synthetic_density,MBC,0.015106083416148544,0.016831050534801575,0.07370797640255436,0.0259273902155328,0.14925549048571202,0.206748072905733,0.8625601987792345,0.4447435350530416,37.69116413942552,21.3440468546111,0.3931316199712455,0.04258700889441966,3.0,0.0
56,varied_density,synthetic_density,MBC_micro_only,0.3121807678647287,0.06652858998916548,0.5058867642205074,0.028966893523325522,0.3667006700260359,0.017033707365796187,0.7448685514673736,0.03292795474911089,490.47331708978237,30.892939347349383,0.38367123999632896,0.025570034975907544,13.6,2.3021728866442674
